"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09"
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-02-22",,"0.92",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-02-23",,"1.09",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-03-09",,"2.97",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-03-10",,"0.92",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-03-11",,"0.27",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-03-13",,,,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-03-18",,"0.00",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-03-21",,"0.00",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-03-24",,"0.78",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-04-10",,,,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-04-11",,"0.02",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-04-13",,"0.10",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-04-14",,"0.00",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-04-18",,"3.76",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-04-20",,"1.30",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-04-21",,"0.39",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-04-27",,"1.24",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-04-29",,"0.25",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-04-30",,"0.29",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-09",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-10",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-11",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-12",,"0.55",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-13",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-14",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-15",,"0.88",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-16",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-17",,"0.24",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-18",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-19",,"0.51",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-24",,"0.66",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-27",,"0.70",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-28",,"0.09",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-30",,"1.76",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-05-31",,"0.00",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-06-01",,"1.09",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-06-02",,"0.20",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-06-03",,"2.04",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-06-04",,"0.04",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-06-05",,"0.15",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-06-12",,"0.09",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-06-13",,"1.46",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-06-14",,"1.22",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-06-28",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-06-29",,"0.02",,,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-06-30",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-07-01",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-07-02",,"0.00","0.0",,,,,,,,,,,,,
"US1TXKF0009","FORNEY 0.8 SSW, TX US","2016-07-03",,"0.00","0.0",,,,,,,,,,,,,
