"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-01-31","7.38","0.03",,,,"32","24","    1",,,,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-01","9.17","0.16",,,,"27","20","    1","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-02","13.20","0.01",,,,"21","9","    1","    1",,,,,,,"    1"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-03","9.40","0.00",,,,"24","-1",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-04","7.83","0.00",,,,"36","7",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-05","5.82","0.00",,,,"35","14",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-06","8.28","0.00",,,,"50","15",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-07","12.08","0.00",,,,"46","19",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-08","8.28","0.00",,,,"43","17",,,,,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-09","7.61","0.00",,,,"53","23",,,,,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-10","11.41","0.00",,,,"65","33",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-11","10.51","0.00",,,,"64","32",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-12","5.59","0.00",,,,"60","31",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-13","7.61","0.00",,,,"66","29",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-14","11.41","0.00",,,,"54","29",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-15","13.65","0.00",,,,"58","27",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-16","9.40","0.00",,,,"54","28",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-17","12.53","0.00",,,,"68","30",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-18","20.13","0.00",,,,"69","41",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-19","12.08","0.00",,,,"66","37",,,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2016-02-20","9.40","0.00",,,,"64","34",,,,,,,,,
